java_file,rust_file,target_crate,rust_type,capability,status,test_evidence,source_commit
sa-token-demo/sa-token-demo-case/src/main/java/com/pj/cases/use/SaSessionController.java,crates/sa-token-demo/sa-token-demo-axum-case/src/scenario/sa_token_demo_case_com_pj_cases_use_sa_session_controller.rs,sa-token-demo-axum-case,SaSessionController,demo,complete,crates/sa-token-demo/sa-token-demo-axum-case/tests/demo_compile_test.rs,902886c2149261ccb53a9c982068b7ccd0990237
sa-token-demo/sa-token-demo-case/src/main/java/com/pj/current/GlobalException.java,crates/sa-token-demo/sa-token-demo-axum-case/src/scenario/sa_token_demo_case_com_pj_current_global_exception.rs,sa-token-demo-axum-case,GlobalException,demo,complete,crates/sa-token-demo/sa-token-demo-axum-case/tests/demo_compile_test.rs,902886c2149261ccb53a9c982068b7ccd0990237
sa-token-demo/sa-token-demo-case/src/main/java/com/pj/current/NotFoundHandle.java,crates/sa-token-demo/sa-token-demo-axum-case/src/scenario/sa_token_demo_case_com_pj_current_not_found_handle.rs,sa-token-demo-axum-case,NotFoundHandle,demo,complete,crates/sa-token-demo/sa-token-demo-axum-case/tests/demo_compile_test.rs,902886c2149261ccb53a9c982068b7ccd0990237
sa-token-demo/sa-token-demo-case/src/main/java/com/pj/model/SysUser.java,crates/sa-token-demo/sa-token-demo-axum-case/src/scenario/sa_token_demo_case_com_pj_model_sys_user.rs,sa-token-demo-axum-case,SysUser,demo,complete,crates/sa-token-demo/sa-token-demo-axum-case/tests/demo_compile_test.rs,902886c2149261ccb53a9c982068b7ccd0990237
sa-token-demo/sa-token-demo-case/src/main/java/com/pj/satoken/MySaTempTemplate.java,crates/sa-token-demo/sa-token-demo-axum-case/src/scenario/sa_token_demo_case_com_pj_satoken_my_sa_temp_template.rs,sa-token-demo-axum-case,MySaTempTemplate,demo,complete,crates/sa-token-demo/sa-token-demo-axum-case/tests/demo_compile_test.rs,902886c2149261ccb53a9c982068b7ccd0990237
sa-token-demo/sa-token-demo-case/src/main/java/com/pj/satoken/MySaTokenListener.java,crates/sa-token-demo/sa-token-demo-axum-case/src/scenario/sa_token_demo_case_com_pj_satoken_my_sa_token_listener.rs,sa-token-demo-axum-case,MySaTokenListener,demo,complete,crates/sa-token-demo/sa-token-demo-axum-case/tests/demo_compile_test.rs,902886c2149261ccb53a9c982068b7ccd0990237
sa-token-demo/sa-token-demo-case/src/main/java/com/pj/satoken/SaLogForSlf4j.java,crates/sa-token-demo/sa-token-demo-axum-case/src/scenario/sa_token_demo_case_com_pj_satoken_sa_log_for_slf4j.rs,sa-token-demo-axum-case,SaLogForSlf4j,demo,complete,crates/sa-token-demo/sa-token-demo-axum-case/tests/demo_compile_test.rs,902886c2149261ccb53a9c982068b7ccd0990237
sa-token-demo/sa-token-demo-case/src/main/java/com/pj/satoken/SaTokenConfigure.java,crates/sa-token-demo/sa-token-demo-axum-case/src/scenario/sa_token_demo_case_com_pj_satoken_sa_token_configure.rs,sa-token-demo-axum-case,SaTokenConfigure,demo,complete,crates/sa-token-demo/sa-token-demo-axum-case/tests/demo_compile_test.rs,902886c2149261ccb53a9c982068b7ccd0990237
sa-token-demo/sa-token-demo-case/src/main/java/com/pj/satoken/StpInterfaceImpl.java,crates/sa-token-demo/sa-token-demo-axum-case/src/scenario/sa_token_demo_case_com_pj_satoken_stp_interface_impl.rs,sa-token-demo-axum-case,StpInterfaceImpl,demo,complete,crates/sa-token-demo/sa-token-demo-axum-case/tests/demo_compile_test.rs,902886c2149261ccb53a9c982068b7ccd0990237
sa-token-demo/sa-token-demo-case/src/main/java/com/pj/satoken/StpUserUtil.java,crates/sa-token-demo/sa-token-demo-axum-case/src/scenario/sa_token_demo_case_com_pj_satoken_stp_user_util.rs,sa-token-demo-axum-case,StpUserUtil,demo,complete,crates/sa-token-demo/sa-token-demo-axum-case/tests/demo_compile_test.rs,902886c2149261ccb53a9c982068b7ccd0990237
